"","campaignid","family","genus","species","family_correct","genus_correct","species_correct"
"1","2010-08_PSGLMP_BRUVs","Sparidae","Pagrus","auratus","Sparidae","Chrysophrys","auratus"
"2","2011-08_PSGLMP_StereoBRUVs","Sparidae","Pagrus","auratus","Sparidae","Chrysophrys","auratus"
"3","2013-08_PSGLMP_StereoBRUVs","Sparidae","Pagrus","auratus","Sparidae","Chrysophrys","auratus"
"4","2015-07_PSGLMP_StereoBRUVs","Sparidae","Pagrus","auratus","Sparidae","Chrysophrys","auratus"
"5","2015-07_PSGLMP_StereoBRUVs","Carangidae","Pseudocaranx","dentex","Carangidae","Pseudocaranx","georgianus"
"6","2016-08_PSGLMP_StereoBRUVs","Sparidae","Pagrus","auratus","Sparidae","Chrysophrys","auratus"
"7","2017-Winter-PSGLMP-StereoBRUVs","Sparidae","Pagrus","auratus","Sparidae","Chrysophrys","auratus"
"8","2015-02_PSGLMP_StereoBRUVs","Sparidae","Pagrus","auratus","Sparidae","Chrysophrys","auratus"
"9","2016-02_PSGLMP_StereoBRUVs","Sparidae","Pagrus","auratus","Sparidae","Chrysophrys","auratus"
